tegenkomen	to encounter
verdrag	treaty
aanwijzing	sign, indication
echtgenoot	husband
suggereren	to suggest
uitwerken	to elaborate
vrucht	fruit
allereerst	first
ruimen	to clean up
voorganger	predecessor
burgerlijk	civil
wapenen (zich)	to arm
adviseren	to advise
boeien	to entertain
Duits	German
gebruikelijk	usual
monument	monument
namens	on behalf of
opsluiten	to lock up
voeden	to feed
gelijk	right
machtig	powerful
misdaad	crime
opduiken	to emerge
aanvraag	application
architect	architect
benaderen	to approach
overtuiging	conviction
scheiding	separation, divorce
bezighouden	to occupy
vleugel	wing
falen	to fail
medaille	medal
omvang	size
straffen	to punish
verblijf	stay
muzikant	musician
vereisen	to require
voorheen	before
wezen	being
blank	white, blank
opvatting	view, opinion
keihard	hard
regenen	to rain
waarderen	to appreciate
fractie	a) ~ party, group b) fraction
gemeenschappelijk	common
generaal	general
ongelukkig	unhappy
opzoeken	to visit
vrijwillig	voluntary
bijeen	together
haat	hate
kip	chicken
literair	literary
aanstellen	to appoint
voorwerp	object
enerzijds	on the one hand
garantie	guarantee
talloos	countless
wandeling	walk
toren	tower
bestemming	destination
openlijk	open, public
uitgever	publisher
zitting	a) seat b) session
armoede	poverty
opmaken	to conclude
wennen	to get used to
gering	slight, little
invoering	introduction
onderscheid	distinction
opbrengen	to yield
bad	bath
prioriteit	priority
protesteren	to protest
allicht	probably
handhaven	to maintain
mail	e-mail
route	route
huisarts	general practitioner
ikzelf	(I) myself
jood	Jew
pc	personal computer
talrijk	numerous
toneel	stage
vies	dirty
zelfmoord	suicide
kassa	cash desk
nadruk	emphasis
pech	bad luck
achterhalen	a) to retrieve, to recover b) to overtake
doorheen	through
garage	garage
bedienen	a) to serve b) to operate
formeel	formal
landbouw	agriculture
loopbaan	career
nader	further
neef	nephew, cousin
toezicht	supervision
verloop	course
veronderstellen	to suppose
geleidelijk	gradual
inhouden	a) to deduct b) to imply
omzetten	to convert
afzien	a) to forgo b) to have a hard time
begaan	to commit
behulp	help
leed	sorrow
opgroeien	to grow up
schoppen	to kick
vertaling	translation
afwijzen	to reject
neerzetten	to put down
proeven	to taste
uiterlijk	appearance
vlakbij	close
zozeer	so much
apparaat	device
duiden	to point at
geliefd	beloved
hooguit	at most
uitgeverij	publisher
voordoen	a) to occur b) to show c) to put on
dialoog	dialogue
mededeling	announcement
overbodig	superfluous
uitroepen	to exclaim, to proclaim
buitenlander	foreigner
aandringen	to insist
context	context
minister-president	prime minister
ontvangst	reception
opvoeding	upbringing
reserveren	to reserve
vervelen (zich)	to be bored
heet	hot
video	video
noodzaak	need
presentatie	presentation
prinses	princess
aangaan	to start
formuleren	to formulate
grof	coarse, gross
uitoefenen	to exercise
enquête	survey
flauw	weak
romantisch	romantic
trui	sweater
poort	gate
uitvallen	to drop/fall out
elektrisch	electric
omringen (zich)	to surround
pop	doll
voortzetten	to continue
vooruitgang	progress
examen	examination
failliet	bankrupt
meewerken	to contribute
melk	milk
actueel	current
eigenschap	property, characteristic
meebrengen	to bring
nut	use
uitgroeien	to grow
vergissen (zich)	to be mistaken
verplichting	obligation
dans	dance
geduld	patience
lichamelijk	physical
verwarren	to confound
achteraan	behind
paren	to mate
perspectief	perspective
uitdelen	to distribute
ultiem	ultimate
inzien	to see
opheffen	a) to lift b) to abolish
liefhebber	lover
afspelen (zich)	to happen
feitelijk	factual
kanker	cancer
pas	a) step b) pass(port)
uitbreken	to break out
volstrekt	absolutely
aanzetten	to encourage
groente	vegetable
koper	1) buyer 2) copper
motief	motive
opleiden	to train
revolutie	revolution
beëindigen	to terminate
kwaad	evil
schilder	painter
verstoppen	to hide
voorop	ahead
afzetten	a) to drop off b) to cheat c) to turn off
belasten	a) to tax b) to overload
diploma	diploma
herhaling	repetition
onderuit	~ sprawled
samenstellen	to compose, to put together
schetsen	to sketch
verhinderen	to prevent
bitter	bitter
boerderij	farm
officier	officer
overgaan	a) to move up b) to pass
ertoe	to
missie	mission
vervallen	to disappear
buitengewoon	exceptional, extraordinary
dank	thanks
hoofdstuk	chapter
opgaan	to merge
terugtrekken	to withdraw
balen	to be fed up with
desnoods	if necessary
kwetsbaar	vulnerable
onzekerheid	uncertainty
proef	test
uitkering	payment, benefit
wiel	wheel
individu	individual
stress	stress
groots	grand, ambitious
lezing	lecture
stilstaan	to stop
toilet	toilet
verzameling	collection
vorderen	a) to claim b) to progress
experiment	experiment
gezondheidszorg	health care
opvoeren	a) to increase b) to stage
pakket	packet
pil	pill
ritme	rhythm
